	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Chg/DChg_Efficiency	Engy_Chg	Engy_DChg	REngy_Chg	REngy_Dchg	CC_Chg_Ratio	CC_Chg_Cap	Plat_Cap	Plat_Capacity_Density	Plat_Efficiency	Plat_Time	Capacitance_Chg	Capacitance_DChg	IR	Mid_value_Voltage	Discharge_Fading_Ratio	Charge_Time	Discharge_Time	Charge_IR	Discharge_IR	End_Temperature	Net_Cap_DChg	Net_Engy_DChg
28	72.28	72.28	72282.64	72281.04	99.998	256.94	253.73	256939.82	253731.68	88.60	64.04	17.47	17465.57	24.16	0:29:58.000	445044.47	402368.53	0.000	3551.5	368.71	2:10:41.000	2:04:01.000	956.534	130.195	0.0	-0.00	-3.21	
29	72.36	72.30	72360.27	72300.48	99.917	257.21	253.80	257214.25	253804.91	88.55	64.07	17.47	17465.57	24.16	0:29:58.000	445065.73	402850.50	0.000	3551.5	368.81	2:10:51.000	2:04:03.000	952.245	130.326	0.0	-0.06	-3.41	
30	72.37	72.30	72365.05	72300.48	99.911	257.22	253.80	257216.05	253800.37	88.51	64.05	17.46	17455.86	24.14	0:29:57.000	443957.34	402290.15	0.000	3551.5	368.81	2:10:59.000	2:04:03.000	922.219	130.195	0.0	-0.06	-3.42	
31	72.31	72.30	72305.94	72299.28	99.991	257.00	253.79	256996.21	253793.55	88.47	63.97	17.46	17455.80	24.14	0:29:57.000	442388.48	402843.83	0.000	3551.5	368.80	2:10:59.000	2:04:03.000	912.210	130.098	0.0	-0.01	-3.20	
32	72.39	72.30	72386.23	72301.20	99.883	257.27	253.79	257266.14	253786.57	88.52	64.07	17.47	17471.10	24.16	0:29:59.000	443860.38	402854.54	0.000	3551.2	368.81	2:11:11.000	2:04:05.000	918.061	137.672	0.0	-0.09	-3.48	
33	72.35	72.32	72352.38	72318.98	99.954	257.14	253.85	257136.99	253854.46	88.55	64.06	17.47	17471.43	24.16	0:29:59.000	442447.04	403328.16	0.000	3551.2	368.90	2:10:52.000	2:04:06.000	899.600	137.638	0.0	-0.03	-3.28	
34	72.41	72.32	72405.18	72319.76	99.882	257.34	253.86	257338.08	253857.77	88.52	64.09	17.47	17465.51	24.15	0:29:58.000	442995.67	402584.10	0.000	3551.5	368.91	2:11:01.000	2:04:05.000	895.181	137.672	0.0	-0.09	-3.48	
35	72.40	72.35	72397.26	72349.04	99.933	257.29	253.96	257287.95	253962.24	88.52	64.08	17.47	17465.57	24.14	0:29:58.000	440625.78	403121.11	0.000	3551.5	369.06	2:10:58.000	2:04:08.000	867.887	130.130	0.0	-0.05	-3.33	
36	72.44	72.42	72439.95	72417.02	99.968	257.44	254.20	257437.55	254198.88	88.44	64.06	17.46	17455.86	24.10	0:29:57.000	440885.60	403125.51	0.000	3551.5	369.40	2:11:14.000	2:04:15.000	855.019	130.195	0.0	-0.02	-3.24	
37	72.37	72.31	72368.11	72313.79	99.925	257.17	253.83	257170.06	253827.89	88.46	64.01	17.45	17452.28	24.13	0:29:57.000	440002.03	403111.86	0.000	3551.2	368.88	2:10:53.000	2:04:06.000	855.019	130.358	0.0	-0.05	-3.34	
38	72.40	72.32	72398.93	72318.88	99.889	257.27	253.84	257266.27	253837.39	88.48	64.06	17.45	17450.96	24.13	0:29:57.000	439966.46	403140.24	0.000	3551.2	368.90	2:11:09.000	2:04:07.000	838.101	137.672	0.0	-0.08	-3.43	
39	72.41	72.40	72411.99	72404.96	99.990	257.32	254.15	257315.34	254147.97	88.44	64.04	17.47	17474.31	24.13	0:29:59.000	440715.44	403432.70	0.000	3551.2	369.34	2:11:13.000	2:04:14.000	855.263	130.195	0.0	-0.01	-3.17	
