Cycle_ID	Step_ID	Step_Type	Step_Time	Capacity	Capacity_Density	Energy	CmpEngergy	Capacitance	Start_Voltage	End_Voltage	Start_Temperature	End_Temperature	End_Capacity	Charge_Mid-Vol	Discharge_Mid-Vol	DCIR	ChargeCap	DischargeCap	Engy_Chg	Engy_DChg	Net_DischargeCap	Net_Engy_DChg
15	29	CCCV_Chg  	2:10:29.000	72.04	72036.31	256.24	256238.22	454886.37	3080.6	3650.7	0.0	0.0	72.04	3585.6	0.0	1160.995	72.04	0.00	256.24	0.00	-72.04	-256.24	
15	30	CC_DChg  	2:03:25.000	71.93	71930.92	252.55	252554.04	400977.55	3645.5	2999.7	0.0	0.0	71.93	0.0	3551.5	130.522	0.00	71.93	0.00	252.55	71.93	252.55	
16	31	CCCV_Chg  	2:10:33.000	72.06	72058.17	256.29	256293.88	454307.20	3079.7	3650.7	0.0	0.0	72.06	3585.6	0.0	1143.838	72.06	0.00	256.29	0.00	-72.06	-256.29	
16	32	CC_DChg  	2:03:28.000	71.96	71960.40	252.65	252649.16	400955.64	3645.5	2999.4	0.0	0.0	71.96	0.0	3551.5	130.163	0.00	71.96	0.00	252.65	71.96	252.65	
17	33	CCCV_Chg  	2:10:42.000	72.06	72064.74	256.31	256309.20	453079.08	3078.1	3650.7	0.0	0.0	72.06	3585.6	0.0	1125.250	72.06	0.00	256.31	0.00	-72.06	-256.31	
17	34	CC_DChg  	2:03:40.000	72.08	72076.97	253.06	253056.25	401046.49	3645.5	2998.5	0.0	0.0	72.08	0.0	3551.5	130.228	0.00	72.08	0.00	253.06	72.08	253.06	
18	35	CCCV_Chg  	2:10:29.000	72.14	72136.96	256.54	256541.35	452348.09	3076.6	3650.7	0.0	0.0	72.14	3585.3	0.0	1116.671	72.14	0.00	256.54	0.00	-72.14	-256.54	
18	36	CC_DChg  	2:03:39.000	72.07	72067.32	253.02	253015.49	401551.39	3645.5	2999.4	0.0	0.0	72.07	0.0	3551.5	130.293	0.00	72.07	0.00	253.02	72.07	253.02	
19	37	CCCV_Chg  	2:10:40.000	72.19	72187.88	256.71	256711.29	452430.97	3076.3	3650.7	0.0	0.0	72.19	3585.0	0.0	1099.514	72.19	0.00	256.71	0.00	-72.19	-256.71	
19	38	CC_DChg  	2:03:40.000	72.08	72077.55	253.05	253053.99	401981.67	3645.5	3000.0	0.0	0.0	72.08	0.0	3551.2	130.195	0.00	72.08	0.00	253.05	72.08	253.05	
20	39	CCCV_Chg  	2:10:45.000	72.22	72222.73	256.82	256820.81	451862.77	3075.3	3650.7	0.0	0.0	72.22	3585.0	0.0	1076.483	72.22	0.00	256.82	0.00	-72.22	-256.82	
20	40	CC_DChg  	2:03:48.000	72.15	72154.76	253.31	253307.04	401479.35	3645.5	2998.5	0.0	0.0	72.15	0.0	3551.5	130.195	0.00	72.15	0.00	253.31	72.15	253.31	
21	41	CCCV_Chg  	2:10:48.000	72.25	72252.40	256.90	256903.72	448927.58	3071.3	3650.7	0.0	0.0	72.25	3584.7	0.0	1040.892	72.25	0.00	256.90	0.00	-72.25	-256.90	
21	42	CC_DChg  	2:03:50.000	72.17	72173.98	253.37	253372.90	401772.58	3645.5	2998.8	0.0	0.0	72.17	0.0	3551.5	130.228	0.00	72.17	0.00	253.37	72.17	253.37	
22	43	CCCV_Chg  	2:10:41.000	72.27	72265.84	256.94	256943.48	449011.10	3071.3	3650.7	0.0	0.0	72.27	3584.7	0.0	1036.603	72.27	0.00	256.94	0.00	-72.27	-256.94	
22	44	CC_DChg  	2:03:52.000	72.19	72193.62	253.45	253446.26	402441.99	3645.5	2999.7	0.0	0.0	72.19	0.0	3551.5	130.457	0.00	72.19	0.00	253.45	72.19	253.45	
23	45	CCCV_Chg  	2:10:42.000	72.25	72252.59	256.89	256891.78	449938.30	3072.6	3650.7	0.0	0.0	72.25	3584.7	0.0	1042.322	72.25	0.00	256.89	0.00	-72.25	-256.89	
23	46	CC_DChg  	2:03:54.000	72.21	72214.11	253.52	253515.89	402369.29	3645.5	2999.4	0.0	0.0	72.21	0.0	3551.5	130.195	0.00	72.21	0.00	253.52	72.21	253.52	
24	47	CCCV_Chg  	2:10:39.000	72.23	72232.30	256.81	256806.13	448338.41	3070.7	3650.7	0.0	0.0	72.23	3584.7	0.0	1019.445	72.23	0.00	256.81	0.00	-72.23	-256.81	
24	48	CC_DChg  	2:03:56.000	72.23	72233.46	253.59	253588.01	402664.09	3645.5	2999.7	0.0	0.0	72.23	0.0	3551.5	130.163	0.00	72.23	0.00	253.59	72.23	253.59	
25	49	CCCV_Chg  	2:10:55.000	72.31	72310.04	257.07	257074.03	448125.55	3069.8	3650.7	0.0	0.0	72.31	3584.7	0.0	1002.288	72.31	0.00	257.07	0.00	-72.31	-257.07	
25	50	CC_DChg  	2:03:55.000	72.22	72222.76	253.54	253541.26	402791.53	3645.5	3000.0	0.0	0.0	72.22	0.0	3551.5	130.457	0.00	72.22	0.00	253.54	72.22	253.54	
26	51	CCCV_Chg  	2:11:01.000	72.34	72342.72	257.18	257176.56	448096.70	3069.5	3650.7	0.0	0.0	72.34	3584.4	0.0	993.709	72.34	0.00	257.18	0.00	-72.34	-257.18	
26	52	CC_DChg  	2:03:58.000	72.25	72249.60	253.62	253623.01	402007.06	3645.5	2998.5	0.0	0.0	72.25	0.0	3551.5	130.358	0.00	72.25	0.00	253.62	72.25	253.62	
27	53	CCCV_Chg  	2:10:52.000	72.32	72319.16	257.07	257072.88	445269.30	3066.0	3650.7	0.0	0.0	72.32	3584.4	0.0	965.251	72.32	0.00	257.07	0.00	-72.32	-257.07	
27	54	CC_DChg  	2:03:59.000	72.26	72255.16	253.63	253633.31	402598.00	3645.2	2999.1	0.0	0.0	72.26	0.0	3551.2	137.776	0.00	72.26	0.00	253.63	72.26	253.63	
28	55	CCCV_Chg  	2:10:41.000	72.28	72282.64	256.94	256939.82	445044.47	3066.0	3650.7	0.0	0.0	72.28	3584.4	0.0	956.534	72.28	0.00	256.94	0.00	-72.28	-256.94	
28	56	CC_DChg  	2:04:01.000	72.28	72281.04	253.73	253731.68	402368.53	3645.5	2998.8	0.0	0.0	72.28	0.0	3551.5	130.195	0.00	72.28	0.00	253.73	72.28	253.73	
29	57	CCCV_Chg  	2:10:51.000	72.36	72360.27	257.21	257214.25	445065.73	3065.4	3650.7	0.0	0.0	72.36	3584.4	0.0	952.245	72.36	0.00	257.21	0.00	-72.36	-257.21	
29	58	CC_DChg  	2:04:03.000	72.30	72300.48	253.80	253804.91	402850.50	3645.5	2999.4	0.0	0.0	72.30	0.0	3551.5	130.326	0.00	72.30	0.00	253.80	72.30	253.80	
30	59	CCCV_Chg  	2:10:59.000	72.37	72365.05	257.22	257216.05	443957.34	3063.9	3650.7	0.0	0.0	72.37	3584.1	0.0	922.219	72.37	0.00	257.22	0.00	-72.37	-257.22	
30	60	CC_DChg  	2:04:03.000	72.30	72300.48	253.80	253800.37	402290.15	3645.5	2998.5	0.0	0.0	72.30	0.0	3551.5	130.195	0.00	72.30	0.00	253.80	72.30	253.80	
31	61	CCCV_Chg  	2:10:59.000	72.31	72305.94	257.00	256996.21	442388.48	3062.3	3650.7	0.0	0.0	72.31	3584.1	0.0	912.210	72.31	0.00	257.00	0.00	-72.31	-257.00	
31	62	CC_DChg  	2:04:03.000	72.30	72299.28	253.79	253793.55	402843.83	3645.5	2999.4	0.0	0.0	72.30	0.0	3551.5	130.098	0.00	72.30	0.00	253.79	72.30	253.79	
32	63	CCCV_Chg  	2:11:11.000	72.39	72386.23	257.27	257266.14	443860.38	3063.6	3650.7	0.0	0.0	72.39	3583.8	0.0	918.061	72.39	0.00	257.27	0.00	-72.39	-257.27	
32	64	CC_DChg  	2:04:05.000	72.30	72301.20	253.79	253786.57	402854.54	3645.2	2999.1	0.0	0.0	72.30	0.0	3551.2	137.672	0.00	72.30	0.00	253.79	72.30	253.79	
