Cycle_ID	Step_ID	Step_Type	Step_Time	Capacity	Capacity_Density	Energy	CmpEngergy	Capacitance	Start_Voltage	End_Voltage	Start_Temperature	End_Temperature	End_Capacity	Charge_Mid-Vol	Discharge_Mid-Vol	DCIR	ChargeCap	DischargeCap	Engy_Chg	Engy_DChg	Net_DischargeCap	Net_Engy_DChg
559	1118	CC_DChg  	2:01:46.000	70.97	70970.83	249.29	249291.40	395625.57	3645.2	2999.4	0.0	0.0	70.97	0.0	3546.6	137.603	0.00	70.97	0.00	249.29	70.97	249.29	
560	1119	CCCV_Chg  	2:10:00.000	70.97	70970.50	252.01	252007.46	404582.41	3019.2	3650.7	0.0	0.0	70.97	3585.9	0.0	283.100	70.97	0.00	252.01	0.00	-70.97	-252.01	
560	1120	CC_DChg  	2:01:47.000	70.98	70979.39	249.32	249315.64	395673.27	3645.2	2999.4	0.0	0.0	70.98	0.0	3546.6	137.879	0.00	70.98	0.00	249.32	70.98	249.32	
561	1121	CCCV_Chg  	2:09:47.000	70.98	70980.47	252.03	252031.00	404255.15	3018.6	3650.7	0.0	0.0	70.98	3585.9	0.0	274.521	70.98	0.00	252.03	0.00	-70.98	-252.03	
561	1122	CC_DChg  	2:01:39.000	70.90	70901.65	249.03	249032.98	395607.49	3645.2	3000.0	0.0	0.0	70.90	0.0	3546.3	137.810	0.00	70.90	0.00	249.03	70.90	249.03	
562	1123	CCCV_Chg  	2:09:59.000	70.96	70958.42	251.95	251952.54	404513.57	3019.2	3650.7	0.0	0.0	70.96	3585.6	0.0	274.521	70.96	0.00	251.95	0.00	-70.96	-251.95	
562	1124	CC_DChg  	2:01:41.000	70.92	70920.99	249.10	249100.46	395347.75	3645.2	2999.4	0.0	0.0	70.92	0.0	3546.6	137.741	0.00	70.92	0.00	249.10	70.92	249.10	
563	1125	CCCV_Chg  	2:09:52.000	70.96	70963.03	251.98	251982.63	404347.75	3018.9	3650.7	0.0	0.0	70.96	3585.6	0.0	278.810	70.96	0.00	251.98	0.00	-70.96	-251.98	
563	1126	CC_DChg  	2:01:44.000	70.95	70950.24	249.21	249211.70	395510.81	3645.2	2999.4	0.0	0.0	70.95	0.0	3546.6	137.672	0.00	70.95	0.00	249.21	70.95	249.21	
564	1127	CCCV_Chg  	2:10:00.000	70.96	70964.12	251.98	251976.74	404353.96	3018.9	3650.7	0.0	0.0	70.96	3585.6	0.0	278.810	70.96	0.00	251.98	0.00	-70.96	-251.98	
564	1128	CC_DChg  	2:01:45.000	70.96	70961.30	249.26	249260.49	395940.30	3645.2	3000.0	0.0	0.0	70.96	0.0	3546.6	137.672	0.00	70.96	0.00	249.26	70.96	249.26	
565	1129	CCCV_Chg  	2:10:00.000	70.99	70988.21	252.07	252072.02	404683.37	3019.2	3650.7	0.0	0.0	70.99	3585.9	0.0	274.521	70.99	0.00	252.07	0.00	-70.99	-252.07	
565	1130	CC_DChg  	2:01:43.000	70.94	70941.40	249.19	249187.40	395094.42	3645.2	2998.8	0.0	0.0	70.94	0.0	3546.6	137.741	0.00	70.94	0.00	249.19	70.94	249.19	
566	1131	CCCV_Chg  	2:09:57.000	70.99	70989.61	252.07	252070.09	403923.80	3018.0	3650.7	0.0	0.0	70.99	3585.9	0.0	274.521	70.99	0.00	252.07	0.00	-70.99	-252.07	
566	1132	CC_DChg  	2:01:39.000	70.90	70901.94	249.05	249049.03	395425.21	3645.2	2999.7	0.0	0.0	70.90	0.0	3546.6	137.741	0.00	70.90	0.00	249.05	70.90	249.05	
567	1133	CCCV_Chg  	2:10:13.000	71.00	70999.89	252.10	252104.11	404557.76	3018.9	3650.7	0.0	0.0	71.00	3585.9	0.0	274.521	71.00	0.00	252.10	0.00	-71.00	-252.10	
567	1134	CC_DChg  	2:01:46.000	70.97	70969.62	249.28	249284.10	395802.66	3645.2	2999.7	0.0	0.0	70.97	0.0	3546.6	137.948	0.00	70.97	0.00	249.28	70.97	249.28	
568	1135	CCCV_Chg  	2:09:54.000	70.88	70876.65	251.66	251664.20	404047.43	3019.2	3650.7	0.0	0.0	70.88	3585.9	0.0	278.810	70.88	0.00	251.66	0.00	-70.88	-251.66	
568	1136	CC_DChg  	2:01:42.000	70.93	70930.79	249.15	249151.75	395770.07	3645.2	3000.0	0.0	0.0	70.93	0.0	3546.6	137.741	0.00	70.93	0.00	249.15	70.93	249.15	
569	1137	CCCV_Chg  	2:10:06.000	70.99	70994.90	252.08	252083.68	404529.33	3018.9	3650.7	0.0	0.0	70.99	3585.6	0.0	270.232	70.99	0.00	252.08	0.00	-70.99	-252.08	
569	1138	CC_DChg  	2:01:43.000	70.94	70940.51	249.18	249182.84	395640.31	3645.2	2999.7	0.0	0.0	70.94	0.0	3546.3	137.776	0.00	70.94	0.00	249.18	70.94	249.18	
570	1139	CCCV_Chg  	2:09:49.000	70.92	70918.71	251.82	251816.98	404479.34	3019.5	3650.7	0.0	0.0	70.92	3585.9	0.0	283.100	70.92	0.00	251.82	0.00	-70.92	-251.82	
570	1140	CC_DChg  	2:01:45.000	70.96	70959.94	249.25	249249.57	395748.69	3645.2	2999.7	0.0	0.0	70.96	0.0	3546.6	137.707	0.00	70.96	0.00	249.25	70.96	249.25	
571	1141	CCCV_Chg  	2:10:09.000	71.00	70998.31	252.10	252098.21	404548.77	3018.9	3650.7	0.0	0.0	71.00	3585.6	0.0	274.521	71.00	0.00	252.10	0.00	-71.00	-252.10	
571	1142	CC_DChg  	2:01:45.000	70.96	70959.89	249.25	249246.69	395380.93	3645.2	2999.1	0.0	0.0	70.96	0.0	3546.6	137.672	0.00	70.96	0.00	249.25	70.96	249.25	
572	1143	CCCV_Chg  	2:10:05.000	70.99	70986.16	252.05	252050.39	404287.57	3018.6	3650.7	0.0	0.0	70.99	3585.6	0.0	278.810	70.99	0.00	252.05	0.00	-70.99	-252.05	
572	1144	CC_DChg  	2:01:41.000	70.92	70920.17	249.10	249103.81	395710.82	3644.9	2999.7	0.0	0.0	70.92	0.0	3546.3	145.436	0.00	70.92	0.00	249.10	70.92	249.10	
573	1145	CCCV_Chg  	2:09:51.000	70.91	70914.27	251.80	251797.35	404261.87	3019.2	3650.7	0.0	0.0	70.91	3585.9	0.0	278.810	70.91	0.00	251.80	0.00	-70.91	-251.80	
573	1146	CC_DChg  	2:01:46.000	70.97	70968.63	249.27	249270.47	395429.62	3645.2	2999.1	0.0	0.0	70.97	0.0	3546.3	137.845	0.00	70.97	0.00	249.27	70.97	249.27	
574	1147	CCCV_Chg  	2:09:51.000	70.95	70948.46	251.92	251920.00	403881.15	3018.3	3650.7	0.0	0.0	70.95	3585.6	0.0	274.521	70.95	0.00	251.92	0.00	-70.95	-251.92	
574	1148	CC_DChg  	2:01:44.000	70.95	70950.15	249.21	249210.54	395326.64	3645.2	2999.1	0.0	0.0	70.95	0.0	3546.6	137.707	0.00	70.95	0.00	249.21	70.95	249.21	
575	1149	CCCV_Chg  	2:09:29.000	70.88	70882.17	251.68	251680.58	403887.01	3018.9	3650.7	0.0	0.0	70.88	3585.9	0.0	283.100	70.88	0.00	251.68	0.00	-70.88	-251.68	
575	1150	CC_DChg  	2:01:39.000	70.90	70901.66	249.04	249043.14	395423.69	3645.2	2999.7	0.0	0.0	70.90	0.0	3546.3	137.776	0.00	70.90	0.00	249.04	70.90	249.04	
576	1151	CCCV_Chg  	2:09:59.000	70.98	70983.50	252.04	252041.97	404464.39	3018.9	3650.7	0.0	0.0	70.98	3585.6	0.0	274.521	70.98	0.00	252.04	0.00	-70.98	-252.04	
576	1152	CC_DChg  	2:01:45.000	70.96	70959.94	249.25	249247.81	395381.21	3645.2	2999.1	0.0	0.0	70.96	0.0	3546.6	137.741	0.00	70.96	0.00	249.25	70.96	249.25	
577	1153	CCCV_Chg  	2:10:01.000	70.97	70966.39	251.98	251981.59	403983.22	3018.3	3650.7	0.0	0.0	70.97	3585.6	0.0	274.521	70.97	0.00	251.98	0.00	-70.97	-251.98	
577	1154	CC_DChg  	2:01:44.000	70.95	70949.77	249.21	249214.41	396060.12	3644.9	3000.0	0.0	0.0	70.95	0.0	3546.6	145.109	0.00	70.95	0.00	249.21	70.95	249.21	
578	1155	CCCV_Chg  	2:09:44.000	70.89	70892.91	251.72	251724.11	404332.16	3019.5	3650.7	0.0	0.0	70.89	3585.6	0.0	278.810	70.89	0.00	251.72	0.00	-70.89	-251.72	
578	1156	CC_DChg  	2:01:43.000	70.94	70940.15	249.18	249175.39	395822.29	3645.2	3000.0	0.0	0.0	70.94	0.0	3546.3	137.879	0.00	70.94	0.00	249.18	70.94	249.18	
579	1157	CCCV_Chg  	2:09:52.000	70.96	70964.80	251.98	251979.94	404165.92	3018.6	3650.7	0.0	0.0	70.96	3585.6	0.0	265.942	70.96	0.00	251.98	0.00	-70.96	-251.98	
579	1158	CC_DChg  	2:01:43.000	70.94	70939.18	249.17	249169.94	395816.86	3644.9	2999.7	0.0	0.0	70.94	0.0	3546.6	145.218	0.00	70.94	0.00	249.17	70.94	249.17	
580	1159	CCCV_Chg  	2:09:42.000	70.90	70900.32	251.74	251743.27	403990.44	3018.9	3650.7	0.0	0.0	70.90	3585.9	0.0	274.560	70.90	0.00	251.74	0.00	-70.90	-251.74	
580	1160	CC_DChg  	2:01:44.000	70.95	70950.17	249.21	249210.86	395510.41	3645.2	2999.4	0.0	0.0	70.95	0.0	3546.3	138.191	0.00	70.95	0.00	249.21	70.95	249.21	
581	1161	CCCV_Chg  	2:09:45.000	70.90	70903.24	251.75	251753.13	404007.06	3018.9	3650.7	0.0	0.0	70.90	3585.6	0.0	278.810	70.90	0.00	251.75	0.00	-70.90	-251.75	
581	1162	CC_DChg  	2:01:41.000	70.92	70921.09	249.11	249111.89	395164.74	3645.2	2999.1	0.0	0.0	70.92	0.0	3546.3	137.983	0.00	70.92	0.00	249.11	70.92	249.11	
582	1163	CCCV_Chg  	2:09:47.000	70.94	70939.17	251.88	251884.53	404019.93	3018.6	3650.7	0.0	0.0	70.94	3585.6	0.0	278.810	70.94	0.00	251.88	0.00	-70.94	-251.88	
582	1164	CC_DChg  	2:01:43.000	70.94	70940.46	249.18	249177.71	395456.24	3645.2	2999.4	0.0	0.0	70.94	0.0	3546.3	137.672	0.00	70.94	0.00	249.18	70.94	249.18	
583	1165	CCCV_Chg  	2:09:36.000	70.90	70903.74	251.76	251759.32	403626.63	3018.3	3650.7	0.0	0.0	70.90	3585.9	0.0	270.232	70.90	0.00	251.76	0.00	-70.90	-251.76	
583	1166	CC_DChg  	2:01:37.000	70.88	70880.84	248.96	248958.35	395307.53	3645.2	2999.7	0.0	0.0	70.88	0.0	3546.3	137.638	0.00	70.88	0.00	248.96	70.88	248.96	
584	1167	CCCV_Chg  	2:10:04.000	70.96	70958.15	251.95	251954.09	403553.48	3017.7	3650.7	0.0	0.0	70.96	3585.6	0.0	257.363	70.96	0.00	251.95	0.00	-70.96	-251.95	
584	1168	CC_DChg  	2:01:46.000	70.96	70964.07	249.26	249255.96	396139.94	3644.9	3000.0	0.0	0.0	70.96	0.0	3546.6	145.218	0.00	70.96	0.00	249.26	70.96	249.26	
585	1169	CCCV_Chg  	2:09:52.000	70.92	70918.59	251.81	251812.23	404478.68	3019.5	3650.7	0.0	0.0	70.92	3585.6	0.0	278.810	70.92	0.00	251.81	0.00	-70.92	-251.81	
585	1170	CC_DChg  	2:01:43.000	70.93	70932.32	249.14	249136.77	395410.89	3644.9	2999.1	0.0	0.0	70.93	0.0	3546.3	145.218	0.00	70.93	0.00	249.14	70.93	249.14	
586	1171	CCCV_Chg  	2:09:56.000	70.87	70865.67	251.62	251618.92	403409.87	3018.3	3650.7	0.0	0.0	70.87	3585.6	0.0	274.560	70.87	0.00	251.62	0.00	-70.87	-251.62	
586	1172	CC_DChg  	2:01:42.000	70.92	70922.69	249.11	249109.34	395173.63	3644.9	2998.8	0.0	0.0	70.92	0.0	3546.3	145.327	0.00	70.92	0.00	249.11	70.92	249.11	
587	1173	CCCV_Chg  	2:09:47.000	70.90	70895.77	251.74	251735.31	403581.23	3018.3	3650.7	0.0	0.0	70.90	3585.6	0.0	278.890	70.90	0.00	251.74	0.00	-70.90	-251.74	
587	1174	CC_DChg  	2:01:42.000	70.93	70927.19	249.12	249124.82	395566.06	3644.9	2999.4	0.0	0.0	70.93	0.0	3546.3	145.218	0.00	70.93	0.00	249.12	70.93	249.12	
588	1175	CCCV_Chg  	2:09:50.000	70.90	70900.15	251.75	251746.16	403797.71	3018.6	3650.7	0.0	0.0	70.90	3585.9	0.0	274.560	70.90	0.00	251.75	0.00	-70.90	-251.75	
588	1176	CC_DChg  	2:01:38.000	70.88	70882.63	248.97	248968.88	395317.55	3645.2	2999.7	0.0	0.0	70.88	0.0	3546.3	137.707	0.00	70.88	0.00	248.97	70.88	248.97	
589	1177	CCCV_Chg  	2:09:56.000	70.85	70853.55	251.58	251580.46	403723.95	3018.9	3650.7	0.0	0.0	70.85	3585.6	0.0	274.560	70.85	0.00	251.58	0.00	-70.85	-251.58	
589	1178	CC_DChg  	2:01:40.000	70.90	70895.83	249.01	249013.02	395023.96	3644.9	2998.8	0.0	0.0	70.90	0.0	3546.3	145.254	0.00	70.90	0.00	249.01	70.90	249.01	
590	1179	CCCV_Chg  	2:09:43.000	70.88	70884.90	251.69	251689.23	403328.02	3018.0	3650.7	0.0	0.0	70.88	3585.9	0.0	274.600	70.88	0.00	251.69	0.00	-70.88	-251.69	
590	1180	CC_DChg  	2:01:36.000	70.87	70866.50	248.91	248908.75	395411.36	3644.9	2999.7	0.0	0.0	70.87	0.0	3546.3	145.181	0.00	70.87	0.00	248.91	70.87	248.91	
591	1181	CCCV_Chg  	2:09:26.000	70.86	70856.77	251.59	251588.28	403742.28	3018.9	3650.7	0.0	0.0	70.86	3585.6	0.0	274.560	70.86	0.00	251.59	0.00	-70.86	-251.59	
591	1182	CC_DChg  	2:01:35.000	70.86	70859.91	248.89	248890.01	395374.57	3644.9	2999.7	0.0	0.0	70.86	0.0	3546.0	145.218	0.00	70.86	0.00	248.89	70.86	248.89	
592	1183	CCCV_Chg  	2:09:47.000	70.91	70908.42	251.78	251777.73	404036.58	3018.9	3650.7	0.0	0.0	70.91	3585.9	0.0	274.521	70.91	0.00	251.78	0.00	-70.91	-251.78	
592	1184	CC_DChg  	2:01:38.000	70.89	70891.09	249.00	249003.40	395364.71	3645.2	2999.7	0.0	0.0	70.89	0.0	3546.3	137.638	0.00	70.89	0.00	249.00	70.89	249.00	
593	1185	CCCV_Chg  	2:09:25.000	70.90	70900.35	251.74	251741.77	403798.86	3018.6	3650.7	0.0	0.0	70.90	3585.9	0.0	270.232	70.90	0.00	251.74	0.00	-70.90	-251.74	
593	1186	CC_DChg  	2:01:36.000	70.87	70872.30	248.93	248932.58	394892.88	3645.2	2999.1	0.0	0.0	70.87	0.0	3546.3	137.776	0.00	70.87	0.00	248.93	70.87	248.93	
594	1187	CCCV_Chg  	2:09:50.000	70.89	70887.82	251.70	251703.15	404303.14	3019.5	3650.7	0.0	0.0	70.89	3585.9	0.0	291.679	70.89	0.00	251.70	0.00	-70.89	-251.70	
594	1188	CC_DChg  	2:01:40.000	70.91	70910.83	249.07	249066.22	394924.18	3644.9	2998.5	0.0	0.0	70.91	0.0	3546.3	145.145	0.00	70.91	0.00	249.07	70.91	249.07	
595	1189	CCCV_Chg  	2:09:48.000	70.89	70891.10	251.71	251709.08	403172.13	3017.7	3650.7	0.0	0.0	70.89	3585.6	0.0	274.521	70.89	0.00	251.71	0.00	-70.89	-251.71	
595	1190	CC_DChg  	2:01:37.000	70.88	70880.75	248.97	248967.25	395490.86	3645.2	3000.0	0.0	0.0	70.88	0.0	3546.3	137.638	0.00	70.88	0.00	248.97	70.88	248.97	
596	1191	CCCV_Chg  	2:09:52.000	70.92	70920.37	251.82	251820.41	404104.69	3018.9	3650.7	0.0	0.0	70.92	3585.9	0.0	270.270	70.92	0.00	251.82	0.00	-70.92	-251.82	
596	1192	CC_DChg  	2:01:39.000	70.90	70896.93	249.02	249018.40	395397.26	3645.2	2999.7	0.0	0.0	70.90	0.0	3546.3	137.741	0.00	70.90	0.00	249.02	70.90	249.02	
597	1193	CCCV_Chg  	2:09:42.000	70.89	70891.38	251.72	251721.02	404131.35	3019.2	3650.7	0.0	0.0	70.89	3585.9	0.0	278.850	70.89	0.00	251.72	0.00	-70.89	-251.72	
597	1194	CC_DChg  	2:01:39.000	70.90	70901.60	249.04	249040.48	394689.59	3645.2	2998.5	0.0	0.0	70.90	0.0	3546.3	137.741	0.00	70.90	0.00	249.04	70.90	249.04	
598	1195	CCCV_Chg  	2:09:59.000	70.93	70932.57	251.87	251866.53	403407.99	3017.7	3650.7	0.0	0.0	70.93	3585.9	0.0	274.521	70.93	0.00	251.87	0.00	-70.93	-251.87	
598	1196	CC_DChg  	2:01:39.000	70.90	70901.66	249.05	249047.70	395239.95	3645.2	2999.4	0.0	0.0	70.90	0.0	3546.6	137.707	0.00	70.90	0.00	249.05	70.90	249.05	
599	1197	CCCV_Chg  	2:10:04.000	70.96	70955.57	251.96	251957.09	404113.38	3018.6	3650.7	0.0	0.0	70.96	3585.9	0.0	274.521	70.96	0.00	251.96	0.00	-70.96	-251.96	
599	1198	CC_DChg  	2:01:45.000	70.96	70959.97	249.25	249254.48	395197.83	3645.2	2998.8	0.0	0.0	70.96	0.0	3546.6	137.948	0.00	70.96	0.00	249.25	70.96	249.25	
600	1199	CCCV_Chg  	2:09:46.000	70.90	70903.44	251.76	251756.01	403242.31	3017.7	3650.7	0.0	0.0	70.90	3585.9	0.0	270.232	70.90	0.00	251.76	0.00	-70.90	-251.76	
600	1200	CC_DChg  	2:01:37.000	70.88	70882.19	248.97	248973.48	395131.43	3645.2	2999.4	0.0	0.0	70.88	0.0	3546.3	137.638	0.00	70.88	0.00	248.97	70.88	248.97	
601	1201	CCCV_Chg  	2:09:46.000	70.86	70863.47	251.62	251619.07	403780.48	3018.9	3650.7	0.0	0.0	70.86	3585.9	0.0	278.810	70.86	0.00	251.62	0.00	-70.86	-251.62	
601	1202	CC_DChg  	2:01:30.000	70.81	70813.08	248.73	248731.11	395297.07	3644.9	3000.0	0.0	0.0	70.81	0.0	3546.3	145.218	0.00	70.81	0.00	248.73	70.81	248.73	
602	1203	CC_Chg  	14:11:00.000	70.77	70774.83	250.85	250846.03	398606.66	3010.9	3650.1	0.0	0.0	70.77	3581.9	0.0	272.841	70.77	0.00	250.85	0.00	-70.77	-250.85	
602	1204	CC_DChg  	14:26:31.000	72.07	72065.29	253.33	253328.20	400610.02	3647.6	3000.0	0.0	0.0	72.07	0.0	3548.1	250.501	0.00	72.07	0.00	253.33	72.07	253.33	
603	1205	CCCV_Chg  	2:11:51.000	72.08	72082.09	255.68	255683.21	406159.84	3011.8	3650.7	0.0	0.0	72.08	3582.5	0.0	295.295	72.08	0.00	255.68	0.00	-72.08	-255.68	
603	1206	CC_DChg  	2:01:37.000	70.88	70882.25	248.97	248971.69	395315.40	3645.2	2999.7	0.0	0.0	70.88	0.0	3546.3	137.707	0.00	70.88	0.00	248.97	70.88	248.97	
604	1207	CCCV_Chg  	2:09:54.000	71.01	71013.02	252.15	252146.20	404824.81	3019.2	3650.7	0.0	0.0	71.01	3585.9	0.0	278.810	71.01	0.00	252.15	0.00	-71.01	-252.15	
604	1208	CC_DChg  	2:01:41.000	70.92	70921.09	249.11	249110.79	395164.71	3645.2	2999.1	0.0	0.0	70.92	0.0	3546.3	137.672	0.00	70.92	0.00	249.11	70.92	249.11	
605	1209	CCCV_Chg  	2:10:04.000	70.94	70937.49	251.88	251881.71	403818.74	3018.3	3650.7	0.0	0.0	70.94	3585.6	0.0	274.521	70.94	0.00	251.88	0.00	-70.94	-251.88	
605	1210	CC_DChg  	2:01:44.000	70.95	70951.25	249.22	249218.39	394965.97	3645.2	2998.5	0.0	0.0	70.95	0.0	3546.6	137.603	0.00	70.95	0.00	249.22	70.95	249.22	
606	1211	CCCV_Chg  	2:09:50.000	70.95	70951.93	251.93	251933.94	403326.94	3017.4	3650.7	0.0	0.0	70.95	3585.9	0.0	270.232	70.95	0.00	251.93	0.00	-70.95	-251.93	
606	1212	CC_DChg  	2:01:35.000	70.86	70862.81	248.90	248903.99	394656.75	3645.2	2998.8	0.0	0.0	70.86	0.0	3546.3	137.638	0.00	70.86	0.00	248.90	70.86	248.90	
607	1213	CCCV_Chg  	2:09:45.000	70.92	70917.29	251.81	251805.31	403512.33	3018.0	3650.7	0.0	0.0	70.92	3585.9	0.0	274.521	70.92	0.00	251.81	0.00	-70.92	-251.81	
607	1214	CC_DChg  	2:01:39.000	70.90	70901.49	249.04	249041.52	395239.02	3645.2	2999.4	0.0	0.0	70.90	0.0	3546.3	137.638	0.00	70.90	0.00	249.04	70.90	249.04	
608	1215	CCCV_Chg  	2:09:58.000	70.93	70932.31	251.86	251861.57	403980.90	3018.6	3650.7	0.0	0.0	70.93	3585.9	0.0	274.521	70.93	0.00	251.86	0.00	-70.93	-251.86	
608	1216	CC_DChg  	2:01:40.000	70.91	70911.21	249.07	249073.01	395109.67	3645.2	2999.1	0.0	0.0	70.91	0.0	3546.3	137.879	0.00	70.91	0.00	249.07	70.91	249.07	
609	1217	CCCV_Chg  	2:09:44.000	70.90	70895.03	251.73	251730.49	403194.50	3017.7	3650.7	0.0	0.0	70.90	3585.9	0.0	265.942	70.90	0.00	251.73	0.00	-70.90	-251.73	
609	1218	CC_DChg  	2:01:33.000	70.84	70843.20	248.83	248832.08	395097.61	3645.2	2999.7	0.0	0.0	70.84	0.0	3546.3	137.707	0.00	70.84	0.00	248.83	70.84	248.83	
610	1219	CCCV_Chg  	2:09:58.000	70.93	70926.55	251.84	251835.56	403756.44	3018.3	3650.7	0.0	0.0	70.93	3585.6	0.0	265.980	70.93	0.00	251.84	0.00	-70.93	-251.84	
610	1220	CC_DChg  	2:01:37.000	70.88	70881.64	248.98	248979.98	395128.37	3645.2	2999.4	0.0	0.0	70.88	0.0	3546.3	137.707	0.00	70.88	0.00	248.98	70.88	248.98	
611	1221	CCCV_Chg  	2:09:41.000	70.87	70868.51	251.63	251634.49	403617.53	3018.6	3650.7	0.0	0.0	70.87	3585.9	0.0	274.521	70.87	0.00	251.63	0.00	-70.87	-251.63	
611	1222	CC_DChg  	2:01:35.000	70.86	70859.01	248.89	248890.81	395369.54	3645.2	3000.0	0.0	0.0	70.86	0.0	3546.0	137.879	0.00	70.86	0.00	248.89	70.86	248.89	
612	1223	CCCV_Chg  	2:09:51.000	70.87	70871.96	251.65	251647.38	404020.67	3019.2	3650.7	0.0	0.0	70.87	3585.9	0.0	274.521	70.87	0.00	251.65	0.00	-70.87	-251.65	
612	1224	CC_DChg  	2:01:33.000	70.84	70836.14	248.81	248805.26	395058.26	3644.9	2999.4	0.0	0.0	70.84	0.0	3546.0	145.181	0.00	70.84	0.00	248.81	70.84	248.81	
613	1225	CCCV_Chg  	2:09:46.000	70.85	70851.22	251.57	251571.42	403519.03	3018.6	3650.7	0.0	0.0	70.85	3585.9	0.0	274.600	70.85	0.00	251.57	0.00	-70.85	-251.57	
613	1226	CC_DChg  	2:01:34.000	70.85	70845.29	248.84	248839.39	395476.86	3644.9	3000.0	0.0	0.0	70.85	0.0	3546.0	145.509	0.00	70.85	0.00	248.84	70.85	248.84	
614	1227	CCCV_Chg  	2:09:47.000	70.86	70863.10	251.61	251611.72	403970.18	3019.2	3650.7	0.0	0.0	70.86	3585.9	0.0	274.600	70.86	0.00	251.61	0.00	-70.86	-251.61	
614	1228	CC_DChg  	2:01:31.000	70.82	70819.98	248.75	248753.98	394968.12	3644.9	2999.4	0.0	0.0	70.82	0.0	3546.0	145.181	0.00	70.82	0.00	248.75	70.82	248.75	
615	1229	CCCV_Chg  	2:09:43.000	70.86	70860.97	251.61	251605.27	403383.13	3018.3	3650.7	0.0	0.0	70.86	3585.9	0.0	270.232	70.86	0.00	251.61	0.00	-70.86	-251.61	
615	1230	CC_DChg  	2:01:36.000	70.87	70872.09	248.93	248933.28	394525.34	3645.2	2998.5	0.0	0.0	70.87	0.0	3546.3	137.776	0.00	70.87	0.00	248.93	70.87	248.93	
616	1231	CCCV_Chg  	2:09:30.000	70.86	70856.41	251.58	251581.45	402783.93	3017.4	3650.7	0.0	0.0	70.86	3585.9	0.0	270.232	70.86	0.00	251.58	0.00	-70.86	-251.58	
616	1232	CC_DChg  	2:01:33.000	70.84	70842.59	248.83	248829.76	395461.81	3644.9	3000.0	0.0	0.0	70.84	0.0	3546.0	145.181	0.00	70.84	0.00	248.83	70.84	248.83	
617	1233	CCCV_Chg  	2:09:29.000	70.81	70806.85	251.41	251409.88	403075.03	3018.3	3650.7	0.0	0.0	70.81	3585.9	0.0	261.690	70.81	0.00	251.41	0.00	-70.81	-251.41	
617	1234	CC_DChg  	2:01:30.000	70.81	70811.21	248.72	248716.48	394186.41	3645.2	2998.5	0.0	0.0	70.81	0.0	3546.0	137.741	0.00	70.81	0.00	248.72	70.81	248.72	
618	1235	CCCV_Chg  	2:10:02.000	70.89	70893.68	251.72	251724.51	403377.97	3018.0	3650.7	0.0	0.0	70.89	3585.9	0.0	278.850	70.89	0.00	251.72	0.00	-70.89	-251.72	
618	1236	CC_DChg  	2:01:32.000	70.83	70827.01	248.78	248777.02	395007.33	3644.9	2999.4	0.0	0.0	70.83	0.0	3546.0	145.254	0.00	70.83	0.00	248.78	70.83	248.78	
619	1237	CCCV_Chg  	2:09:50.000	70.82	70818.66	251.46	251460.04	402951.11	3018.0	3650.7	0.0	0.0	70.82	3585.9	0.0	265.980	70.82	0.00	251.46	0.00	-70.82	-251.46	
619	1238	CC_DChg  	2:01:35.000	70.85	70853.24	248.87	248870.21	395521.29	3644.9	3000.0	0.0	0.0	70.85	0.0	3546.0	145.582	0.00	70.85	0.00	248.87	70.85	248.87	
620	1239	CCCV_Chg  	2:09:35.000	70.83	70827.25	251.49	251486.09	403957.72	3019.5	3650.7	0.0	0.0	70.83	3585.9	0.0	278.810	70.83	0.00	251.49	0.00	-70.83	-251.49	
620	1240	CC_DChg  	2:01:29.000	70.80	70795.56	248.66	248664.73	395015.51	3644.9	2999.7	0.0	0.0	70.80	0.0	3546.0	145.181	0.00	70.80	0.00	248.66	70.80	248.66	
621	1241	CCCV_Chg  	2:10:00.000	70.86	70862.00	251.61	251612.82	403006.65	3017.7	3650.7	0.0	0.0	70.86	3585.9	0.0	257.437	70.86	0.00	251.61	0.00	-70.86	-251.61	
621	1242	CC_DChg  	2:01:30.000	70.81	70808.73	248.72	248720.78	395272.79	3644.9	3000.0	0.0	0.0	70.81	0.0	3546.0	145.254	0.00	70.81	0.00	248.72	70.81	248.72	
622	1243	CCCV_Chg  	2:09:45.000	70.86	70857.73	251.59	251591.81	403556.15	3018.6	3650.7	0.0	0.0	70.86	3585.9	0.0	265.942	70.86	0.00	251.59	0.00	-70.86	-251.59	
622	1244	CC_DChg  	2:01:25.000	70.76	70758.54	248.53	248532.87	394625.50	3644.9	2999.4	0.0	0.0	70.76	0.0	3546.0	145.145	0.00	70.76	0.00	248.53	70.76	248.53	
623	1245	CCCV_Chg  	2:09:47.000	70.82	70824.67	251.47	251473.75	403367.85	3018.6	3650.7	0.0	0.0	70.82	3585.9	0.0	274.600	70.82	0.00	251.47	0.00	-70.82	-251.47	
623	1246	CC_DChg  	2:01:30.000	70.80	70799.46	248.68	248683.13	394670.24	3644.9	2999.1	0.0	0.0	70.80	0.0	3546.0	145.145	0.00	70.80	0.00	248.68	70.80	248.68	
624	1247	CCCV_Chg  	2:09:37.000	70.81	70806.25	251.41	251409.01	403071.65	3018.3	3650.7	0.0	0.0	70.81	3585.9	0.0	274.600	70.81	0.00	251.41	0.00	-70.81	-251.41	
